country,description,price,province,title,variety,winery
Slovenia,"A musky white-flower note melds into savory notes of hazelnut oil and nut skin on the nose and palate of this smoky, rather mysterious wine. Tart with tangerine acidity, it's refreshingly brisk but finishes long with a hint of smoky vanilla.",30.0,Goriska Brda,Valter Sirk 2010 Malvazija Malvasia Istriana (Goriska Brda),Malvasia Istriana,Valter Sirk
Croatia,"Though aromatically subdued, there's an intensity of tangerine and lime zest flavor in this dry, invigorating Malvasia. The midpalate is marked by elegant white-flower notes that linger on the slightly astringent lime-pith finish.",16.0,Istria,Bastianich 2010 Adriatico Malvasia Istriana (Istria),Malvasia Istriana,Bastianich
Bulgaria,"Pristine flavors of cassis and black cherry give an elegant floral quality to this dry, full-bodied Cabernet. Crisp with acidity, it's balanced and impeccably crafted. It finishes long on a delicious coffee-inflected note.",9.0,Thracian Valley,Domaine Boyar 2009 Reserve Cabernet Sauvignon (Thracian Valley),Cabernet Sauvignon,Domaine Boyar
Bulgaria,"Vibrant aromas of red berry, vanilla and spice gives this Cabernet from Bulgaria an energetic start. A soft, mouthfilling style of dry red with flavors of pepper, leather and vanilla, the wine has style and substance, but is not overly complicated. A good go-to red for heartier dishes.",10.0,Thracian Valley,Vinex Slavyantsi 2006 Slavyantsi Estate Cabernet Sauvignon (Thracian Valley),Cabernet Sauvignon,Vinex Slavyantsi
Bulgaria,"This wine starts with a soft, harmonious nose of cherry, cinnamon and pepper, and the flavors, though a touch tart and thin, offer a good spicy midpalate and elegant overall character.",10.0,Thracian Valley,Vinex Slavyantsi 2006 Slavyantsi Estate Pinot Noir (Thracian Valley),Pinot Noir,Vinex Slavyantsi
Croatia,"Sure to please any wine-geek, this orange wine is a blend of seven grapes including Sauvignon Blanc, Vermentino, Reisling Italica, Glera, Fruilano, Pinot Gris and Pinot Blanc. It's aged for three years in large wooden vats and has aromas of dried nectarine, dried peach, apricot and freshly ground black pepper that lead to luscious flavors of apricot nectar and honeycomb.",41.0,Istria,Roxanich 2008 Ines in White White (Istria),White Blend,Roxanich
Bulgaria,"A blend of 60% Mavrud and 40% Rubin, this ruby-colored wine has aromas of black berry, black plum and a touch of powdered cocoa. In the mouth, flavors recall black cherry, black raspberry and a hint of mocha and espresso. Tannins are soft and the finish is persistent.",26.0,Thracian Valley,Villa Yustina 2012 Monogram Mavrud and Rubin Red (Thracian Valley),Red Blend,Villa Yustina
Bulgaria,"Pale straw in the glass, this wine has aromas of lemon grass and grapefruit pith that pave the way for delightful flavors of Honey Crisp apples and red grapefruit juice.",9.0,Thracian Valley,Vini 2015 Veni Vidi Vici Pinot Grigio (Thracian Valley),Pinot Grigio,Vini
Slovenia,"Aromas of freshly mowed grass, lemon pith, and lemon grass open for mineral-driven flavors of Bartlett pear, lemon juice and green apple in the midpalate.",12.0,Primorska,Giocato 2015 Sauvignon Blanc (Primorska),Sauvignon Blanc,Giocato
Croatia,"Heady aromas of lemon blossom, jasmine and orange peel draw you into the glass. A crisp backbone of lime zest is supported by healthy minerality and a refreshing finish.",17.0,Istria,Benvenuti 2012 Malvasia Istriana (Istria),Malvasia Istriana,Benvenuti
Croatia,"An aromatic mélange of lemon custard, apple pie and salted caramel intrigue your nose while crisp flavors of lemon rind, citrus zest and grapefruit delight your palate. Pair this wine with freshly shucked oysters on a warm summer's day.",18.0,Istria,Kozlović 2012 Malvazija Malvasia (Istria),Malvasia,Kozlović
Croatia,"Rich with butter, cream and caramel popcorn, this Croatian blend of Malvasia and Chardonnay with a hefty dose of new French oak is luscious both on the nose and palate. Savory in style with hints of salted butter, it's an interesting example of Croatian wine made in a decidedly international style.",35.0,Istria,Saints Hills 2009 Nevina White (Istria),White Blend,Saints Hills
Bosnia and Herzegovina,"Toasted oak and cedar notes meld into lush, ripe black plums on the nose and palate of this fruit-forward, richly concentrated wine from Bosnia and Herzegovina. It's a straightforward, accessible wine, but well balanced with smooth tannins and a bright acidity",13.0,Mostar,Winery Čitluk 2007 Vranac Vranec (Mostar),Vranec,Winery Čitluk
Bulgaria,"This wine has aromas of cherry, cherry pie, pomegranate juice and dark chocolate. In the mouth there are flavors of cranberry, cherry cola and a touch of dried oregano. It is well balanced with soft tannins and a splash of tart cherry juice before the persistent finish.",16.0,Thracian Valley,Edoardo Miroglio 2012 EM Mavrud (Thracian Valley),Mavrud,Edoardo Miroglio
Croatia,"White peach and flower petal notes on the nose gain rich honeydew and fresh herb flavors on the palate of this refreshing, concentrated Malvasia. Bright acidity and a lovely saline touch keep the finish brisk and balanced.",20.0,Istria,Coronica 2011 Malvasia (Istria),Malvasia,Coronica
Slovenia,"This Slovenian Ribolla Gialla has aromas of peach and vanilla, with flavors of freshly baked peach pie, canned apricots and green apple. It is soft on entry, rounded in the mouth and shows good minerality on the finish.",15.0,Goriska Brda,Colliano 2013 Estate Bottled Ribolla Gialla (Goriska Brda),Ribolla Gialla,Colliano
Croatia,"Indulgently rich on the nose and palate, this intensely concentrated blend of Cab and Syrah is full of ripe black fruit that melts into a coffee and chocolate-inflected midpalate. It's not a dainty wine at 13.7% abv, but velvety tannins, brisk acidity and an earthy forest floor note on the finish adds balance and complexity.",19.0,Istria,Agrolaguna 2009 Castello Festigia Red (Istria),Red Blend,Agrolaguna
Bulgaria,"Harmonious on the nose and palate with ripe black plums and cassis enveloped by a layer of char and smoke. Medium to full bodied with structured acidity, it's a straightforward but sound Merlot with powdery, soft tannins and a tasty black cherry and graham cracker finish.",8.0,Thracian Valley,Vini 2009 Veni Vidi Vici Merlot (Thracian Valley),Merlot,Vini
Croatia,"While softly smoky on the nose and palate, this honey-kissed Traminer is gorgeously perfumed with notes of orange blossoms and waxy white florals. Lusciously mouth quenching with a pithy, citrus-flavored mid-palate, it finishes on a tasty lime juice and white pepper note.",13.0,Podunavlje,Iločki Podrumi 2008 Traminer (Podunavlje),Traminer,Iločki Podrumi
Croatia,"Yellow freesias, fresh apples and quince preserves perfume this lovely, medium-bodied Malvasia from Istria. Dry on the palate yet elegantly fruity, it balances bright, fresh apple and tangerine flavors with nervy acidity and a lemon pith astringency on the finish.",13.0,Istria,Istravino 2009 De Mar Malvasia (Istria),Malvasia,Istravino
Croatia,"Fresh and fragrant, this offers notes of apple, vanilla spice and lemon rind on the nose and palate. The palate of this Croatian white feels surprisingly voluptuous. Dry in style, with penetrating fruit flavors, this has lavish minerality on the midpalate that lends the finish a brisk, crisp feel.",28.0,Korčula,Grgić Vina 2010 Posip (Korčula),Posip,Grgić Vina
Bulgaria,"Fragrant of baked apple and vanilla spice, this Bulgarian Sauvignon Blanc is just a shade off dry. It offers straightforward but easy-drinking apple and flower flavors, and the bright acidity lends a clean, brisk finish.",9.0,Thracian Valley,Vini 2011 Veni Vidi Vici Sauvignon Blanc (Thracian Valley),Sauvignon Blanc,Vini
Croatia,"Bright and clean with freshly pressed apples and pears on the nose, this is an easy-quaffing, medium-bodied Croatian Malvasia to pair with seafood and other light fare. Luscious on the palate with a rich, toasted hazelnut note, it's balanced by a lemony acidity and a brisk minerality throughout.",20.0,Istria,Matošević 2008 Alba Malvasia Istriana (Istria),Malvasia Istriana,Matošević
Ukraine,"On the nose, this nonvintage sparkler from the Ukraine has primary notes of yeast and freshly baked bread There are soft flavors of green apple and peach in the mouth with gentle persistent bubbles.",10.0,Ukraine,Marengo NV Brut Sparkling (Ukraine),Sparkling Blend,Marengo
Bulgaria,"This dark cherry-red wine has aromas of red plums and dried black plums that flow to the palate. An easy drinking wine, with pleasantly tart cherry flavors.",10.0,Thracian Valley,Vini 2012 Veni Vidi Vici Pinot Noir (Thracian Valley),Pinot Noir,Vini
Croatia,"There's so much nuance and complexity in this rustic yet fascinating Croatian wine, that it takes a while to break down its components. Initial scents of dried leaves and mulch blow off to reveal an array of delicate floral and fruit aromas, accented by rich chocolate and vanilla notes. Big in both alcohol and structure, its massively tannic, but smoothes out with aeration. Decant to drink now, but could easily evolve for 5–10 years.",65.0,Peljesac,Saints Hills 2009 Dinga Plavac Mali (Peljesac),Plavac Mali,Saints Hills
Slovenia,"Crafted in an oxidative style, this wine is light brown to the eye, with aromas of toasted nuts and caramelized pineapple. Flavors of hazelnut, toasted almond and lemon sorbet continue through the smooth finish that ends on a zesty note.",39.0,Goriska Brda,Erzetič 2009 Amfora Sivi Pinot Pinot Gris (Goriska Brda),Pinot Gris,Erzetič
Bulgaria,Vivid aromas of cherry and blackberry set the stage for flavors of black cherry and black raspberry with a hint of citrus zest in this garnet-colored wine. Full-on fruit flavors remain on the palate well into the persistent finish.,15.0,Thracian Valley,Katarzyna 2013 Twins Cabernet Sauvignon (Thracian Valley),Cabernet Sauvignon,Katarzyna
Croatia,"Aromas of white peach, nectarine and vanilla bean join fresh fruit flavors backed by nuances of caramel, vanilla and crème brûlée. There's nice round mouthfeel and a creamy yet clean finish.",20.0,Istria,Piquentum 2011 Blanc Malvasia (Istria),Malvasia,Piquentum
Serbia,"This semi-dry red wine is garnet in color, with aromas of red cherry and red raspberry plus lifted top notes of eucalyptus and mint. In the mouth, flavors of red raspberry and black currant shine brightly before the juicy finish.",16.0,Fruška Gora,Agrina 2012 Portuguiser Blauer Portugieser (Fruška Gora),Blauer Portugieser,Agrina
Slovakia,"Delicious scents of honey, apples and petrol lead to a luscious, full-bodied palate full of smoke and honey with a gripping lime skin astringency on the finish. Rich in honey tones, yet quite dry, the palate is balanced with a bracing acidity.",16.0,Muzla,Château Bela 2008 Riesling (Muzla),Riesling,Château Bela
Bulgaria,"Rich aromas of boysenberry, cranberry, pipe tobacco and dark chocolate prepare the palate for flavors of cherry syrup and pomegranate. Soft but persistent tannins are apparent in the mouth, and the finish offers lingering flavors of dark chocolate and coffee.",11.0,Thracian Valley,K Cellars 2011 Pinot Noir (Thracian Valley),Pinot Noir,K Cellars
Bulgaria,"Aromas of black raspberry, dried cherry, espresso and smoked meat set the scene for mouth-pleasing flavors of black cherry, blackberry and tobacco leaf. Harmonious levels of tannins and acidity linger on the tongue at the conclusion of the juicy, fruit-filled finish.",14.0,Thracian Valley,K Cellars 2011 Red (Thracian Valley),Red Blend,K Cellars
Bulgaria,"Straw colored in the glass with aromas of green apple, citrus blossom and freshly cut grass, this Bulgarian Sauvignon Blanc has flavors of lemon curd, guava and pineapple. It is medium bodied in the midpalate and has a crisp, clean finish.",11.0,Thracian Valley,K Cellars 2015 Sauvignon Blanc (Thracian Valley),Sauvignon Blanc,K Cellars
Croatia,"Cranberry, pomegranate and a touch of bramble are found in the nose. The palate reveals fresh fruit flavors of sour red cherry, cranberry and red plum with a pleasant acidic backbone. Drink now or hold through 2016.",57.0,Peljesac,Miloš 2006 Stagnum Plavac Mali (Peljesac),Plavac Mali,Miloš
Croatia,"From the village of Sisan in southern Istria, this wine has enticing notes of lemon blossom, Mediterranean herbs and white peach in its bouquet. In the mouth crisp acidity accompanies flavors of lemon curd and Granny Smith apple. A clean finish invites you in for another sip.",21.0,Istria,Trapan 2012 Ponente Malvazija Malvasia (Istria),Malvasia,Trapan
Macedonia,"Snappy lemon, grapefruit and apples aromas lead this fresh white from Bovin. On the palate, grassy flavors with fresh white fruits are backed by a lively minerality. Clean and flavorful—a perky go-to white with food pairing potential.",15.0,Tikves,Bovin 2007 Sauvignon (Tikves),Sauvignon,Bovin
Bulgaria,"Aromas of mint, talcum powder and dried cherry lead you to a delightful palate of red and black plums and black raspberries. Soft tannins and a persistent finish make this a notable Bulgarian Merlot.",12.0,Thracian Valley,Domaine Boyar 2015 Reserve Merlot (Thracian Valley),Merlot,Domaine Boyar
Croatia,"Hailing from Korcula, the birthplace of Marco Polo, this Croatian white has aromas of lemon preserves and caramelized pineapple. There are flavors of dried apricot and vanilla on the entry, with a burst of green apple in the midpalate.",25.0,Korčula,Pošip Čara 2011 Marko Polo Posip (Korčula),Posip,Pošip Čara
Bulgaria,"Pristine flavors of cassis and black cherry give an elegant floral quality to this dry, full-bodied Cabernet. Crisp with acidity, it's balanced and impeccably crafted. It finishes long on a delicious coffee-inflected note.",9.0,Thracian Valley,Domaine Boyar 2009 Reserve Cabernet Sauvignon (Thracian Valley),Cabernet Sauvignon,Domaine Boyar
Croatia,"Waxy notes of white flower and orange peel persist on the nose and palate of this bold, invigorating wine. Dry and full bodied, it's structured and concentrated, but it finishes crisply with hints of tart tangerine and hazelnut skin.",24.0,Korčula,Korta Katarina 2009 Posip (Korčula),Posip,Korta Katarina
Croatia,"A whopping 15.1% abv, this Plavac Mali (an ancestor of Zin) is certainly on the big and brawny side, but also reveals a complexity that evolves dramatically in the glass. Aromas of sun-dried hay and grass are prevalent through the nose and palate, adding a rustic quality to the sweet and spicy red fruit, fig and toast characteristics. The long finish is marked by an assertive show of tannins.",45.0,Peljesac,Grgić Vina 2007 Plavac Mali (Peljesac),Plavac Mali,Grgić Vina
Bulgaria,"This Bulgarian Pinot Noir has aromas of black cherry, red raspberry and cinnamon. In the mouth, there are flavors of dried black cherry, fresh cherry juice and brown baking spices before the pleasant, persistent finish.",17.0,Danube River Plains,Chateau Burgozone 2014 Pinot Noir (Danube River Plains),Pinot Noir,Chateau Burgozone
Croatia,"Aromas of cherry cola, brown baking spices, and cinnamon lead to flavors of black cherry, black plum conserves, and dried mission figs. There's a nice level of acidity and a persistent tannic finish.",19.0,Dalmatian Coast,Vuina 2009 Dry Red Plavac Mali (Dalmatian Coast),Plavac Mali,Vuina
Bulgaria,"Aromas of brown baking spices and black cherry open the bouquet of this wine. There are soft tannins with flavors of red cherry, black cherry and cherry cola in the smooth and round finish.",9.0,Danube River Plains,Vini 2015 Veni Vidi Vici Pinot Noir (Danube River Plains),Pinot Noir,Vini
Slovenia,"Ebulliently perfumed with heady white florals that blow off to reveal a luscious, white peach nose, this dry, full-bodied Traminer is a bit high in alcohol, but plush and pleasant on the palate with yellow peach, tangerine and waxy lanolin notes.",20.0,Štajerska,Pullus 2008 g-Pullus Traminer (Štajerska),Traminer,Pullus
Croatia,"There's a distinct grassy note of hay and alfalfa on the nose of this Croatian red wine. On the palate, there are pleasant notes of ripe red fruit and chocolate, but coarse grape tannins and a bold 15.5% alcohol content contribute to a rather harsh, disjointed mouthfeel.",65.0,Middle and South Dalmatia,Saints Hills 2008 Dingač Plavac Mali (Middle and South Dalmatia),Plavac Mali,Saints Hills
Serbia,"A blend of 60% Prokupac and 40% Cabernet Sauvignon this Serbian wine smells of red cherry and blackberry. It is full bodied, while tasting of black cherry and blackberry. The finish is fruit filled with a touch of leather.",40.0,Župa,Budimir 2009 Sub Rosa Red (Župa),Red Blend,Budimir
Bulgaria,"This straw-colored Chardonnay has aromas of apple and citrus blossom with flavors of creamy apple, vanilla and citrus pith. It has nice weight on the palate with a clean acidic finish.",9.0,Thracian Valley,Vini 2015 Veni Vidi Vici Chardonnay (Thracian Valley),Chardonnay,Vini
Bulgaria,"Aromas of blackberry, ripe cherry, black pepper and espresso bean delight the nose. Deep ruby red, this wine has flavors of black cherry, blackberry, cinnamon and nutmeg that are supported by a soft grid of velvety tannins.",11.0,Thracian Valley,K Cellars 2012 Cabernet Sauvignon (Thracian Valley),Cabernet Sauvignon,K Cellars
Bulgaria,Aromas of lemon zest and freshly cut grass abound on the nose. Flavors of lemon curd and lemon pith bring nuance to the palate.,9.0,Thracian Valley,Vini 2013 Veni Vidi Vici Chardonnay (Thracian Valley),Chardonnay,Vini
Bulgaria,"Garnet to the eye, this wine has a nose of black cherry, pomegranate, white chocolate and cigar box. Flavors of cherry and pipe tobacco with a hint of freshly zested orange wrapped in soft tannins remain on the palate through the final notes of chocolate-covered espresso bean.",14.0,Thracian Valley,Bulgariana 2011 Pinot Noir (Thracian Valley),Pinot Noir,Bulgariana
Bulgaria,"Deep garnet-purple in the glass, this opens with aromas of dried cherry, saddle leather and forest floor. It has flavors of pomegranate, tart cherry and Portobello mushroom, and a pleasant splash of brightness in the finish.",14.0,Danube River Plains,Chateau Burgozone 2011 Cabernet Sauvignon (Danube River Plains),Cabernet Sauvignon,Chateau Burgozone
Slovenia,"A straw yellow color, with pink tinges, this bright wine is zesty and juicy at the same time. It has a round body and full mouthfeel, with flavors of green apple, Bartlett pear and citrus blossoms. There's bracing lime-juice acidity on the finish.",12.0,Primorska,Giocato 2012 Pinot Grigio (Primorska),Pinot Grigio,Giocato
Czech Republic,"Intense floral and yellow peach aromas mingle with dusty mineral and savory dried-herb notes on this elegant, quaffable white wine. It's medium bodied with a round, easy-drinking structure and a hint of bitter lime pith on the finish.",15.0,Moravia,Vino z Czech 2011 Rivaner (Moravia),Rivaner,Vino z Czech
Croatia,"This straw-colored wine has delightful aromas of white jasmine, cotton candy and violets. Flavors recall guava, mango and papaya. Medium bodied and well balanced, it has a clean, crisp finish.",20.0,Kutjevo,Adzic 2015 Graševina (Kutjevo),Graševina,Adzic
Bulgaria,"Not your typical Malbec, this Bulgarian version has aromas of tobacco leaf and cassis, and flavors of tart cherry and red plum. It offers soft tannins and a finish filled with tastes of red fruits.",40.0,Thracian Valley,Midalidare 2013 Grand Vintage Mogilovo Single Vineyard Malbec (Thracian Valley),Malbec,Midalidare
Bulgaria,"Aromas of cherry, blackberry preserves and oven-roasted acorn squash greet the nose in this ruby-colored wine. A grid of velvety tannins provides a backdrop for flavors of cherry pie, pomegranate seeds and Chinese five-spice powder.",14.0,Thracian Valley,Bulgariana 2009 Imperial Red (Thracian Valley),Red Blend,Bulgariana
Bulgaria,"Garnet to the eye, this wine has a bouquet of elderberries and cherry preserves with a hint of autumn yam. Flavors of sweet cherry, pomegranate and baking spices make their home in a nest of silky tannins.",14.0,Thracian Valley,K Cellars 2009 Red (Thracian Valley),Red Blend,K Cellars
Bulgaria,"The scents of cherries and green peppers at a farmers' market fill the nose, followed by easy-drinking flavors of cherry and red raspberry.Notes of ripe plum that culminate in a soft finish.",15.0,Thracian Valley,Katarzyna 2013 Halla Merlot (Thracian Valley),Merlot,Katarzyna
Bulgaria,"A blend of 70% Cabernet Sauvignon and 30% Mavrud (an indigenous Bulgarian variety), this garnet-colored wine has a bouquet of blackberry, black plum and smoked meats. Soft tannins support the rich flavor of black plum, backed by a generous sprinkling of vanilla.",12.0,Thracian Valley,Katarzyna 2013 Mezzek Red (Thracian Valley),Red Blend,Katarzyna
Croatia,"Earthy on the nose with aromas of sun-dried hay, foliage and a high toned black cherry note. Significant aeration softens grassy aromas to reveal a red berry palate marked with bright acidity, but the finish is aggressive with rough, gripping tannins.",16.0,Peljesac,Lirica 2008 Plavac Mali (Peljesac),Plavac Mali,Lirica
Bulgaria,"This Bulgarian red blend is produced under the supervision of flying winemaker Michele Rolland. It consists of 60% Merlot, 25% Cabernet Sauvignon and 15% Cabernet Franc. It has aromas of black raspberry, black plum and a touch of graphite. In the mouth, there are flavors of dark cherry, blackberry and pomegranate with chewy tannins and a pleasantly tart finish.",30.0,Thracian Valley,Castra Rubra 2010 CR Red (Thracian Valley),Bordeaux-style Red Blend,Castra Rubra
Bulgaria,"This delightful wine has aromas of dried violet, cocoa powder and cherry juice, with flavors of fresh cherry juice, dried herbs and pomegranate. It is balanced and has a touch of acidity in the finish.",16.0,Danube River Plains,Chateau Burgozone 2013 Côte de Danube Pinot Noir (Danube River Plains),Pinot Noir,Chateau Burgozone
Slovenia,"Known in Italy as Ribolla Gialla, Rebula is the name used for the same grape on the Slovenian side of the border. This wine has aromas of pineapple, tropical fruit and dried lavender. Flavors of green apple and pineapple flourish on the palate, lingering into the surprisingly tart finish.",18.0,Goriska Brda,Erzetič 2013 Rebula (Goriska Brda),Rebula,Erzetič
Ukraine,"Persistent bubbles lead the way to aromas of citrus blossom, green apple and yeasty bread. There are flavors of apple juice and lemon preserves in the midpalate. The finish is pleasantly sweet.",10.0,Ukraine,Marengo NV Semi-Sweet Bianco Sparkling (Ukraine),Sparkling Blend,Marengo
Ukraine,"This sparkling rosé has aromas of honeydew melon and dried red cherries. In the mouth, it has persistent bubbles, flavors of ripe strawberry and a sweet red-fruit finish.",10.0,Ukraine,Marengo NV Rose Sparkling (Ukraine),Sparkling Blend,Marengo
